signal_id,signal_sanasi,eskalatsiya
SG_000002,2026-08-02,0
SG_000003,2025-12-15,0
SG_000004,2026-02-13,0
SG_000005,2026-02-05,0
SG_000006,2025-04-18,0
SG_000008,2026-02-18,0
SG_000012,2026-03-12,1
SG_000013,2025-02-22,0
SG_000014,2026-07-26,0
SG_000015,2026-06-04,0
SG_000016,2025-06-06,0
SG_000017,2025-03-26,0
SG_000019,2025-12-17,0
SG_000020,2025-11-19,0
SG_000021,2025-12-21,1
SG_000022,2025-03-13,0
SG_000023,2026-10-17,0
SG_000025,2026-07-27,0
SG_000027,2026-01-08,0
SG_000028,2025-01-30,0
SG_000029,2026-12-28,0
SG_000030,2025-11-07,0
SG_000031,2026-02-02,1
SG_000035,2025-05-28,0
SG_000037,2025-10-12,0
SG_000038,2026-08-04,0
SG_000040,2026-03-25,0
SG_000041,2025-09-27,0
SG_000042,2026-01-19,0
SG_000043,2026-05-31,0
SG_000044,2025-10-09,0
SG_000045,2025-11-05,1
SG_000046,2025-10-11,0
SG_000047,2026-01-27,1
SG_000051,2026-07-15,0
SG_000052,2026-05-13,0
SG_000056,2026-01-05,1
SG_000057,2026-04-09,0
SG_000060,2026-05-25,0
SG_000063,2026-01-23,1
SG_000064,2026-01-18,0
SG_000065,2025-03-14,1
SG_000066,2026-10-31,0
SG_000067,2025-07-22,0
SG_000068,2026-10-10,1
SG_000069,2025-08-03,0
SG_000070,2026-01-21,0
SG_000071,2026-11-04,0
SG_000074,2025-10-09,0
SG_000076,2026-10-20,0
SG_000077,2025-02-17,0
SG_000078,2025-01-06,1
SG_000079,2025-03-16,0
SG_000082,2026-04-05,0
SG_000084,2025-12-10,0
SG_000085,2025-10-23,0
SG_000088,2025-12-24,0
SG_000089,2026-09-28,0
SG_000090,2026-09-20,0
SG_000091,2025-09-11,0
SG_000093,2025-12-07,0
SG_000094,2025-03-06,0
SG_000095,2026-11-29,0
SG_000096,2026-09-30,0
SG_000097,2026-11-07,0
SG_000098,2025-09-14,0
SG_000101,2026-01-01,0
SG_000102,2025-01-24,0
SG_000103,2025-09-17,0
SG_000104,2026-06-22,0
SG_000108,2025-02-28,0
SG_000109,2025-11-21,0
SG_000110,2025-11-06,0
SG_000111,2026-03-29,1
SG_000112,2026-01-28,0
SG_000113,2025-03-21,0
SG_000114,2025-07-03,0
SG_000115,2026-02-09,0
SG_000116,2026-05-17,0
SG_000117,2025-10-26,0
SG_000119,2026-07-16,0
SG_000121,2026-09-06,0
SG_000122,2026-08-11,1
SG_000123,2025-08-23,0
SG_000124,2026-07-11,1
SG_000126,2025-02-02,0
SG_000127,2025-07-06,0
SG_000128,2025-01-03,0
SG_000130,2025-07-25,0
SG_000131,2025-02-26,1
SG_000132,2025-04-15,0
SG_000133,2026-10-27,0
SG_000134,2025-08-11,0
SG_000135,2025-07-10,0
SG_000136,2025-05-08,0
SG_000138,2025-08-24,0
SG_000139,2025-10-06,1
SG_000140,2026-03-03,0
SG_000141,2026-07-28,0
SG_000142,2026-02-03,0
SG_000143,2025-04-09,0
SG_000144,2025-09-16,0
SG_000145,2026-11-20,0
SG_000148,2025-02-10,1
SG_000150,2026-02-02,0
SG_000151,2025-09-20,0
SG_000152,2026-01-04,1
SG_000154,2025-12-29,1
SG_000155,2025-04-14,0
SG_000156,2026-03-26,1
SG_000157,2026-09-21,1
SG_000158,2026-05-17,1
SG_000159,2026-05-22,0
SG_000160,2025-08-13,0
SG_000162,2025-10-12,1
SG_000164,2025-09-18,0
SG_000166,2025-08-23,0
SG_000167,2025-07-22,0
SG_000168,2026-07-11,0
SG_000169,2026-01-27,0
SG_000170,2026-12-21,0
SG_000171,2026-08-12,0
SG_000172,2025-10-15,1
SG_000174,2026-12-15,0
SG_000175,2026-05-16,0
SG_000176,2025-02-07,0
SG_000177,2026-01-10,0
SG_000180,2026-03-23,1
SG_000181,2026-04-09,1
SG_000182,2025-02-24,1
SG_000183,2026-01-29,0
SG_000184,2025-03-08,0
SG_000185,2026-06-15,0
SG_000186,2026-02-01,1
SG_000188,2026-06-30,0
SG_000189,2025-02-14,0
SG_000190,2025-11-12,0
SG_000191,2026-09-01,0
SG_000194,2026-06-25,0
SG_000197,2025-02-07,0
SG_000198,2025-06-25,0
SG_000199,2026-11-29,1
SG_000200,2025-09-10,0
SG_000202,2026-12-26,0
SG_000204,2026-05-17,1
SG_000206,2026-03-28,0
SG_000208,2026-08-12,0
SG_000209,2025-03-22,0
SG_000210,2025-02-21,0
SG_000212,2025-07-13,0
SG_000213,2026-11-14,0
SG_000215,2025-09-02,0
SG_000216,2025-07-29,0
SG_000220,2025-03-10,0
SG_000221,2025-08-24,0
SG_000222,2025-07-06,0
SG_000223,2025-09-21,1
SG_000224,2026-11-13,1
SG_000225,2025-12-07,1
SG_000226,2025-06-18,0
SG_000228,2026-09-30,0
SG_000230,2025-12-23,1
SG_000231,2026-05-06,0
SG_000233,2025-08-29,0
SG_000234,2026-05-26,0
SG_000235,2025-12-12,0
SG_000236,2026-02-11,0
SG_000237,2026-05-07,0
SG_000238,2025-10-07,0
SG_000239,2025-12-26,0
SG_000241,2025-08-14,0
SG_000243,2026-05-27,1
SG_000245,2025-06-15,0
SG_000247,2026-04-13,0
SG_000248,2025-01-06,0
SG_000249,2025-12-01,0
